,Date,AAPL_Highest price,MSFT_Highest price,AMZN_Highest price,FB_Highest price,TSLA_Highest price,NVDA_Highest price,PG_Highest price,PYPL_Highest price,ADBE_Highest price,TMO_Highest price,ABT_Highest price,ACN_Highest price,AVGO_Highest price,DHR_Highest price,TXN_Highest price,LIN_Highest price,INTU_Highest price,QCOM_Highest price,LOW_Highest price,UPS_Highest price,AMD_Highest price,NOW_Highest price,ISRG_Highest price,TGT_Highest price,DE_Highest price,CHTR_Highest price,ZTS_Highest price,TMUS_Highest price,SHW_Highest price,ADSK_Highest price,FDX_Highest price,IDXX_Highest price,PGR_Highest price,CMG_Highest price,A_Highest price,SNPS_Highest price,MTCH_Highest price,CDNS_Highest price,MNST_Highest price,CMI_Highest price,MTD_Highest price,VRSK_Highest price,WST_Highest price,FAST_Highest price,ANSS_Highest price,PCAR_Highest price,DHI_Highest price,ODFL_Highest price,SWKS_Highest price,GNRC_Highest price,ETSY_Highest price,BBY_Highest price,CZR_Highest price,CTLT_Highest price,TRMB_Highest price,CRL_Highest price,MPWR_Highest price,EXPD_Highest price,CHD_Highest price,PKI_Highest price,BR_Highest price,QRVO_Highest price,HOLX_Highest price,POOL_Highest price,GWW_Highest price,TTWO_Highest price,ABMD_Highest price,JBHT_Highest price,MAS_Highest price,FBHS_Highest price,CHRW_Highest price,PENN_Highest price,ROL_Highest price
0,2020-01-01,75.15,160.73,1898.01,209.79,86.1391,59.9775,124.73,111.21,334.48,326.94,86.96,211.92,322.5,155.24,129.61,214.4459,266.6,89.81,120.46,117.9664,49.25,291.68,597.83,128.9,176.88,491.41,134.28,78.89,195.04,187.89,155.1,265.26,74.35,859.19,86.35,142.93,24.2119,71.44,64.02,180.875,809.99,151.13,152.5,37.33,259.66,79.66,53.11,128.0267,122.4,102.02,45.61,88.44,13.69,56.64,42.26,154.84,180.87,78.73,70.71,98.86,124.89,117.4,52.33,213.88,344.71,123.98,173.86,117.99,48.41,65.81,78.5,26.15,22.3933
1,2020-01-02,75.145,159.945,1886.1965,210.4,90.8,59.4575,123.53,110.42,332.98,325.29,86.67,210.625,320.0,155.31,129.25,209.05,265.37,87.64,119.82,116.86,49.39,293.06,594.58,125.53,175.76,496.59,134.91,78.43,190.51,186.41,153.34,266.39,74.78,870.9359,85.33,142.09,24.072,70.99,63.61,177.18,802.07,152.73,152.37,36.82,258.11,78.83,53.22,127.1933,120.89,102.22,45.32,87.64,13.59,56.52,41.6705,153.275,178.5,77.91,70.42,97.68,123.99,115.24,51.94,215.68,342.26,122.5,169.3174,117.21,47.92,65.5,77.8,25.965,22.1733
2,2020-01-05,74.99,159.1,1903.69,212.78,90.312,59.3175,123.19,110.22,333.91,325.33,86.36,208.79,313.92,154.76,127.33,206.3457,266.63,86.55,120.39,116.23,48.86,293.41,597.62,124.6517,176.88,498.15,134.065,78.85,188.572,187.25,153.55,267.18,75.72,862.8,84.82,142.16,24.0805,70.9706,63.53,175.56,793.86,153.03,152.61,36.295,255.865,78.52,54.1,126.0533,117.46,101.96,45.19,87.92,13.57,56.1825,41.45,153.55,175.785,77.435,70.92,98.05,125.01,112.98,52.47,215.34,339.85,125.1264,179.42,116.1998,47.625,65.89,77.62,26.33,22.1933
3,2020-01-06,75.225,159.67,1913.89,214.58,94.326,60.4425,123.2059,111.56,334.79,329.24,86.3,206.26,316.5765,156.67,130.9,206.75,267.52,89.49,120.6609,116.44,49.39,294.58,589.95,124.43,176.44,500.6495,134.81,79.51,188.7133,188.17,155.22,269.46,73.12,863.0,85.26,143.48,24.1633,71.28,64.14,174.8371,801.12,154.93,152.43,36.1,258.34,78.105,54.01,126.2467,118.4799,102.93,46.12,89.21,13.61,56.54,41.51,155.04,177.91,76.94,70.37,98.99,125.47,112.75,52.795,214.68,339.3,126.47,182.44,117.86,47.54,65.9009,78.44,26.48,22.2667
4,2020-01-07,76.11,160.8,1910.9999,216.24,99.698,60.51,123.4299,112.64,339.23,330.59,86.66,205.45,313.4907,157.74,130.57,208.185,274.77,89.47,122.73,117.56,48.3,297.69,585.37,125.2472,176.78,509.99,135.27,79.79,190.11,190.5,157.75,274.65,73.96,867.0,86.47,146.6,24.5403,72.76,64.06,175.42,805.49,156.23,151.99,36.625,258.89,79.205,54.745,127.24,120.8697,102.89,46.62,89.37,13.69,57.176,41.55,157.04,177.59,76.94,69.88,99.74,126.2176,113.77,52.81,215.27,343.11,128.995,180.73,119.41,47.93,67.13,79.69,27.075,22.2267
5,2020-01-08,77.6075,162.215,1917.82,218.38,99.76,61.4824,123.88,113.56,341.8099,330.8572,86.68,207.28,312.9899,158.84,131.74,209.7399,277.27,90.72,122.88,117.83,49.96,299.77,589.75,124.91,178.39,508.86,136.37,80.33,191.0467,192.7,158.3149,278.19,73.94,877.0,87.7,149.3,24.8658,73.69,64.34,175.31,813.095,157.96,152.0,36.4099,261.8,79.16,53.97,129.4467,121.23,100.755,46.63,89.49,13.69,57.575,42.59,157.69,179.095,77.02,70.19,99.91,128.5,114.0,53.43,216.59,343.68,129.548,183.8,120.13,47.66,67.28,79.63,27.03,22.5867
6,2020-01-09,78.1675,163.22,1906.94,219.88,96.988,62.1375,124.32,113.71,343.36,331.9778,86.99,208.31,305.55,158.58,131.81,211.825,276.5,92.39,121.962,117.07,49.29,303.39,616.56,125.7,178.4,509.03,136.0,80.21,190.3967,193.42,158.4256,283.735,74.125,866.57,88.235,150.53,24.9857,73.58,66.19,174.31,822.25,157.815,153.65,36.57,263.0573,78.74,54.17,131.9933,121.5,99.88,46.96,90.74,13.67,57.83,42.68,160.2587,179.46,77.67,70.37,101.16,128.12,115.85,53.58,217.93,346.6,128.53,195.49,120.11,47.85,67.12,80.41,26.86,23.4367
7,2020-01-12,79.2675,163.31,1898.0,221.97,105.126,63.2471,124.9,115.88,345.73,332.09,85.73,209.84,303.8,159.75,130.74,211.93,277.849,92.73,121.71,117.22,48.86,305.86,606.92,124.68,175.04,512.65,136.75,79.56,191.75,193.37,159.53,284.35,74.93,869.77,88.32,150.43,26.0937,73.95,65.71,172.77,824.62,158.14,156.28,36.65,264.52,78.1186,54.04,133.8333,125.2255,101.03,48.125,91.28,13.64,59.49,42.78,159.306,179.95,77.9,71.215,100.95,128.8399,117.499,53.64,219.32,345.3,128.57,169.98,119.33,47.84,68.13,80.62,26.69,23.3933
8,2020-01-13,79.3925,163.6,1887.11,222.38,109.482,62.82,125.2,115.59,347.27,335.09,86.0,211.0,309.15,161.99,131.86,212.12,276.305,91.61,121.68,118.18,49.035,306.0,604.301,125.66,175.05,512.7,137.275,79.95,192.99,193.13,164.5,285.445,75.0,863.6225,88.21,149.59,25.8053,73.47,65.87,175.2995,835.97,157.93,157.55,37.175,264.57,78.98,54.49,136.9267,125.75,102.49,49.32,91.83,13.65,60.66,42.98,161.39,181.0,79.15,71.21,102.06,128.8338,116.57,53.995,217.45,345.78,127.53,174.77,119.77,47.8,68.44,82.08,27.135,23.49
9,2020-01-14,78.875,163.94,1878.86,221.68,107.568,62.1723,126.12,115.95,347.5,336.89,87.85,208.435,307.88,162.37,130.43,212.08,276.08,91.18,120.19,118.7,49.08,307.73,605.49,119.4,175.15,517.07,139.0,80.48,195.9317,192.17,163.02,288.92,75.97,869.46,89.11,150.03,26.2421,73.1,66.155,172.75,830.46,159.14,158.72,36.98,265.43,78.035,55.165,137.64,123.2542,103.9,50.28,89.87,13.68,61.14,43.23,160.87,179.83,79.57,72.35,102.455,129.29,115.41,54.24,219.11,341.99,128.01,178.33,120.44,48.02,69.25,83.8,27.5,23.5267
