Date,Open price,Highest price,Lowest price,Close price,Volume
"Dec 31, 2020","3,725.00","3,753.00","3,715.00","3,748.75","400,961"
"Dec 30, 2020","3,724.25","3,738.25","3,716.50","3,724.25","457,574"
"Dec 29, 2020","3,730.00","3,747.75","3,714.50","3,720.00","650,390"
"Dec 28, 2020","3,682.25","3,732.25","3,675.00","3,727.50","473,807"
"Dec 24, 2020",-,-,-,-,-
"Dec 23, 2020","3,674.50","3,701.50","3,651.00","3,681.50","639,737"
"Dec 22, 2020","3,684.75","3,695.25","3,663.75","3,677.25","869,272"
"Dec 21, 2020","3,718.00","3,724.25","3,596.00","3,685.75","1,301,639"
"Dec 18, 2020","3,722.25","3,748.25","3,708.00","3,726.25","933,634"
"Dec 17, 2020","3,703.25","3,727.00","3,699.50","3,721.25","62,060"
"Dec 16, 2020","3,695.00","3,711.50","3,687.25","3,700.75","79,520"
"Dec 15, 2020","3,652.25","3,695.75","3,642.75","3,694.50","115,720"
"Dec 14, 2020","3,677.50","3,698.50","3,644.25","3,646.50","221,323"
"Dec 11, 2020","3,668.75","3,675.00","3,628.00","3,661.25","296,527"
"Dec 10, 2020","3,669.75","3,681.25","3,644.00","3,668.50","918,121"
"Dec 09, 2020","3,707.25","3,715.00","3,659.25","3,672.50","1,143,360"
"Dec 08, 2020","3,682.25","3,708.00","3,664.00","3,702.00","672,062"
"Dec 07, 2020","3,695.00","3,705.00","3,672.25","3,690.75","664,937"
"Dec 04, 2020","3,668.00","3,700.00","3,665.50","3,698.00","567,166"
"Dec 03, 2020","3,671.00","3,682.00","3,655.25","3,664.50","716,871"
"Dec 02, 2020","3,661.00","3,672.75","3,642.25","3,667.25","678,576"
"Dec 01, 2020","3,631.25","3,677.50","3,625.75","3,660.50","839,881"
"Nov 30, 2020","3,644.00","3,651.75","3,592.25","3,623.25","993,931"
"Nov 27, 2020",-,-,-,-,-
"Nov 25, 2020","3,635.75","3,655.00","3,615.25","3,627.25","703,798"
"Nov 24, 2020","3,576.25","3,640.00","3,575.25","3,632.75","763,423"
"Nov 23, 2020","3,546.25","3,596.00","3,545.00","3,576.00","755,342"
"Nov 20, 2020","3,560.50","3,582.50","3,542.50","3,554.25","754,973"
"Nov 19, 2020","3,561.75","3,582.50","3,542.00","3,580.00","891,717"
"Nov 18, 2020","3,603.75","3,623.25","3,556.00","3,565.00","974,851"
"Nov 17, 2020","3,626.00","3,630.00","3,584.00","3,606.75","923,520"
"Nov 16, 2020","3,586.75","3,636.75","3,586.00","3,623.00","853,041"
"Nov 13, 2020","3,538.00","3,590.00","3,518.25","3,582.00","827,963"
"Nov 12, 2020","3,574.50","3,575.00","3,513.00","3,532.50","1,209,448"
"Nov 11, 2020","3,546.50","3,576.75","3,530.75","3,568.00","978,070"
"Nov 10, 2020","3,549.25","3,562.75","3,506.25","3,541.00","1,651,819"
"Nov 09, 2020","3,522.50","3,668.75","3,515.75","3,544.00","1,805,691"
"Nov 06, 2020","3,509.00","3,519.00","3,456.50","3,500.75","1,103,710"
"Nov 05, 2020","3,447.75","3,522.50","3,428.00","3,504.75","1,113,831"
"Nov 04, 2020","3,362.50","3,480.00","3,319.25","3,435.00","1,504,508"
"Nov 03, 2020","3,304.25","3,382.75","3,301.25","3,361.50","1,055,224"
"Nov 02, 2020","3,262.25","3,323.50","3,243.25","3,300.50","1,313,229"
"Oct 30, 2020","3,268.25","3,296.25","3,225.00","3,264.75","1,733,336"
"Oct 29, 2020","3,278.75","3,333.75","3,250.25","3,302.25","1,357,129"
"Oct 28, 2020","3,368.75","3,370.75","3,260.75","3,263.50","1,529,943"
"Oct 27, 2020","3,394.50","3,410.25","3,368.00","3,383.00","940,467"
"Oct 26, 2020","3,446.00","3,447.00","3,356.00","3,393.50","1,270,433"
"Oct 23, 2020","3,455.75","3,463.50","3,431.75","3,451.75","773,247"
"Oct 22, 2020","3,430.50","3,453.00","3,402.25","3,449.25","856,913"
"Oct 21, 2020","3,435.25","3,457.75","3,420.75","3,432.50","1,034,105"
"Oct 20, 2020","3,435.75","3,469.75","3,418.00","3,432.25","1,078,100"
"Oct 19, 2020","3,470.75","3,496.50","3,410.75","3,422.75","1,027,486"
"Oct 16, 2020","3,478.50","3,508.50","3,461.25","3,462.25","719,766"
"Oct 15, 2020","3,479.50","3,486.75","3,431.50","3,475.50","897,971"
"Oct 14, 2020","3,502.25","3,524.00","3,472.25","3,481.00","901,013"
"Oct 13, 2020","3,533.75","3,536.00","3,491.25","3,504.75","894,785"
"Oct 12, 2020","3,470.25","3,541.25","3,464.00","3,532.75","726,172"
"Oct 09, 2020","3,447.00","3,480.00","3,445.50","3,473.25","571,111"
"Oct 08, 2020","3,407.25","3,447.75","3,404.00","3,437.50","638,300"
"Oct 07, 2020","3,338.00","3,416.50","3,331.75","3,406.75","895,709"
