,AAPL_Highest price,MSFT_Highest price,AMZN_Highest price,GOOGL_Highest price,FB_Highest price,GOOG_Highest price,TSLA_Highest price,NVDA_Highest price,BRK.B_Highest price,JPM_Highest price,JNJ_Highest price,V_Highest price,UNH_Highest price,HD_Highest price,PG_Highest price,BAC_Highest price,DIS_Highest price,PYPL_Highest price,MA_Highest price,ADBE_Highest price,CRM_Highest price,NFLX_Highest price,XOM_Highest price,CMCSA_Highest price,PFE_Highest price,CSCO_Highest price,TMO_Highest price,VZ_Highest price,INTC_Highest price,ABT_Highest price,PEP_Highest price,ACN_Highest price,KO_Highest price,AVGO_Highest price,WMT_Highest price,CVX_Highest price,COST_Highest price,T_Highest price,DHR_Highest price,ABBV_Highest price,WFC_Highest price,NKE_Highest price,MRK_Highest price,MCD_Highest price,TXN_Highest price,LLY_Highest price,MDT_Highest price,LIN_Highest price,PM_Highest price,NEE_Highest price,ORCL_Highest price,MS_Highest price,INTU_Highest price,HON_Highest price,QCOM_Highest price,LOW_Highest price,C_Highest price,UPS_Highest price,MRNA_Highest price,BMY_Highest price,SBUX_Highest price,GS_Highest price,UNP_Highest price,RTX_Highest price,IBM_Highest price,AMD_Highest price,BLK_Highest price,AMT_Highest price,AMAT_Highest price,NOW_Highest price,AMGN_Highest price,BA_Highest price,ISRG_Highest price,GE_Highest price,TGT_Highest price,SCHW_Highest price,CVS_Highest price,AXP_Highest price,CAT_Highest price,MMM_Highest price,SPGI_Highest price,DE_Highest price,BKNG_Highest price,ANTM_Highest price,PLD_Highest price,CHTR_Highest price,ADI_Highest price,ZTS_Highest price,COP_Highest price,SYK_Highest price,MO_Highest price,GILD_Highest price,LMT_Highest price,TJX_Highest price,PNC_Highest price,LRCX_Highest price,ADP_Highest price,MU_Highest price,MDLZ_Highest price,USB_Highest price
0,75.15,160.73,1898.01,1368.68,209.79,1368.14,86.1391,59.9775,228.39,141.1,146.02,191.14,295.7,219.76,124.73,35.66,148.2,111.21,303.53,334.48,167.07,329.98,71.02,45.4,39.35,48.42,326.94,61.45,60.97,86.96,137.23,211.92,55.43,322.5,119.89,121.625,294.58,39.22,155.24,89.57,54.035,102.21,92.14,200.8,129.61,132.26,114.91,214.4459,86.17,60.92,53.96,52.06,266.6,180.8,89.81,120.46,81.26,117.9664,19.81,64.0,89.35,234.64,182.38,53.3,135.92,49.25,510.0,231.1499,62.65,291.68,243.19,333.35,597.83,95.64,128.9,48.38,74.7,126.27,150.55,180.01,277.9,176.88,2077.4143,302.8199,89.8,491.41,120.65,134.28,65.68,211.0,50.34,65.74,399.37,61.7,160.37,299.8,172.0,55.49,55.35,59.48
1,75.145,159.945,1886.1965,1373.75,210.4,1372.5,90.8,59.4575,227.43,139.23,145.373,190.96,291.875,219.68,123.53,35.15,147.9,110.42,302.42,332.98,166.77,329.8599,71.37,45.2213,39.24,48.135,325.29,60.79,60.7,86.67,136.79,210.625,54.99,320.0,118.7886,122.72,292.9,39.2,155.31,89.39,53.615,102.0,92.07,200.55,129.25,132.47,114.41,209.05,85.94,60.3407,54.05,51.45,265.37,179.83,87.64,119.82,80.515,116.86,19.36,63.33,89.1,232.61,181.19,58.9,134.86,49.39,506.701,229.83,61.73,293.06,240.26,334.89,594.58,96.0,125.53,47.6,74.06,125.1,149.96,178.66,278.2,175.76,2067.69,299.53,89.8602,496.59,119.67,134.91,67.13,210.57,49.95,65.37,417.17,61.57,159.59,296.81,170.45,55.305,54.57,58.81
2,74.99,159.1,1903.69,1398.32,212.78,1396.5,90.312,59.3175,227.13,138.27,144.2,189.21,291.66,220.0,123.19,34.9,146.03,110.22,301.33,333.91,173.67,336.36,71.355,44.87,39.0,47.82,325.33,60.59,60.195,86.36,136.32,208.79,54.905,313.92,118.09,121.67,292.07,39.15,154.76,89.62,53.2,101.84,91.735,202.7673,127.33,132.56,114.95,206.3457,86.11,60.65,54.2,51.04,266.63,178.38,86.55,120.39,79.55,116.23,18.74,63.2354,88.41,234.02,180.08,64.49,134.24,48.86,504.77,230.0,60.4568,293.41,240.45,334.86,597.62,97.68,124.6517,47.39,73.94,124.16,148.56,178.71,279.07,176.88,2059.79,300.56,89.6,498.15,117.32,134.065,66.94,213.07,50.07,65.825,417.99,61.64,158.6818,292.03,170.34,54.14,54.48,57.79
3,75.225,159.67,1913.89,1403.5,214.58,1402.99,94.326,60.4425,227.26,137.86,145.45,190.1,291.49,220.56,123.2059,34.92,146.8699,111.56,303.38,334.79,176.87,336.7,70.52,45.005,39.13,47.72,329.24,60.175,59.8,86.3,136.07,206.26,54.6,316.5765,117.515,119.7261,291.69,39.3,156.67,89.54,53.05,102.74,91.12,202.68,130.9,132.925,115.3,206.75,86.83,60.5525,54.33,51.19,267.52,178.07,89.49,120.6609,79.3,116.44,18.32,64.18,88.03,237.77,179.58,63.98,134.96,49.39,509.82,227.57,62.1,294.58,240.0,344.19,589.95,97.88,124.43,48.01,73.665,124.4,147.57,178.51,286.69,176.44,2072.83,300.28,88.94,500.6495,120.88,134.81,66.49,210.85,49.9349,65.29,416.12,61.67,158.4,298.535,169.455,58.4,54.08,57.69
4,76.11,160.8,1910.9999,1411.85,216.24,1411.58,99.698,60.51,227.84,137.58,145.98,192.5,297.38,222.97,123.4299,35.19,146.13,112.64,306.95,339.23,178.85,342.7,70.285,45.57,39.22,47.785,330.59,60.1,59.32,86.66,135.36,205.45,54.64,313.4907,116.73,119.09,295.48,39.55,157.74,90.06,53.33,102.14,89.5,206.69,130.57,134.21,116.89,208.185,88.35,60.7375,54.6,51.79,274.77,179.1,89.47,122.73,80.0,117.56,18.08,64.61,89.35,239.75,181.05,68.1,135.86,48.3,510.14,226.485,62.2,297.69,239.58,334.03,585.37,96.4,125.2472,48.0,73.09,126.36,148.57,181.5,286.81,176.78,2088.66,308.76,89.23,509.99,121.455,135.27,66.63,212.01,50.28,66.24,418.1803,62.39,159.905,301.67,170.51,58.39,54.42,57.51
5,77.6075,162.215,1917.82,1428.68,218.38,1427.33,99.76,61.4824,228.85,138.23,146.03,193.9215,297.2,225.55,123.88,35.33,146.625,113.56,310.94,341.8099,179.9,343.4196,69.9,45.61,39.27,47.88,330.8572,59.4,59.51,86.68,135.38,207.28,55.395,312.9899,117.37,117.9222,301.96,39.0,158.84,90.23,53.2,102.41,90.05,209.3748,131.74,136.36,118.6678,209.7399,88.67,60.955,54.8,52.25,277.27,179.425,90.72,122.88,80.98,117.83,18.55,65.775,91.16,243.4,180.83,64.4,136.79,49.96,514.82,227.14,62.85,299.77,239.69,341.73,589.75,96.72,124.91,48.54,73.26,127.88,147.969,181.59,290.9,178.39,2089.9999,309.0,89.81,508.86,121.69,136.37,66.15,212.98,50.67,66.07,416.0,62.841,161.25,303.88,171.34,58.48,54.375,57.56
6,78.1675,163.22,1906.94,1434.9399,219.88,1434.9292,96.988,62.1375,228.5308,137.25,146.18,194.57,296.07,225.49,124.32,35.07,145.5,113.71,311.95,343.36,180.68,338.5,69.96,45.63,39.625,47.56,331.9778,59.3,60.075,86.99,135.42,208.31,55.93,305.55,117.34,117.69,300.27,38.95,158.58,90.29,52.9,101.93,90.11,208.95,131.81,138.27,118.96,211.825,89.0,61.175,54.65,52.47,276.5,179.9,92.39,121.962,80.01,117.07,21.0,65.97,90.89,243.39,179.93,65.34,137.87,49.29,515.24,231.02,62.714,303.39,240.93,337.7,616.56,95.28,125.7,48.16,73.3606,128.17,147.72,182.18,290.91,178.4,2094.0,309.1,89.725,509.03,120.81,136.0,66.2,212.882,51.07,66.0899,415.6,63.03,160.98,301.2822,172.0,57.5,54.48,57.15
7,79.2675,163.31,1898.0,1441.48,221.97,1440.52,105.126,63.2471,228.47,137.2,145.79,195.6,294.45,224.51,124.9,35.07,144.75,115.88,315.6403,345.73,184.45,340.85,69.87,45.87,39.772,47.98,332.09,59.37,59.775,85.73,136.59,209.84,56.23,303.8,116.55,116.9103,300.6495,38.55,159.75,89.5,52.5,102.34,89.63,207.78,130.74,139.99,118.73,211.93,88.45,61.7063,54.79,52.78,277.849,181.34,92.73,121.71,80.715,117.22,20.36,66.99,91.715,246.11,179.99,65.105,136.64,48.86,523.45,235.42,61.95,305.86,238.33,334.1,606.92,97.2,124.68,48.25,72.99,128.95,146.83,182.23,294.26,175.04,2090.25,307.0,91.82,512.65,119.64,136.75,65.51,209.77,51.12,65.26,420.96,62.66,159.54,297.33,172.47,57.78,54.61,56.7769
8,79.3925,163.6,1887.11,1442.63,222.38,1441.8,109.482,62.82,228.3899,140.76,146.61,196.95,288.24,224.9458,125.2,35.67,146.72,115.59,316.42,347.27,183.85,345.38,69.5799,46.22,40.08,47.99,335.09,59.13,59.74,86.0,136.94,211.0,56.292,309.15,116.2099,116.88,301.0,38.185,161.99,88.435,50.74,103.89,89.93,207.65,131.86,140.9,117.67,212.12,87.9369,61.95,55.18,53.245,276.305,181.215,91.61,121.68,83.11,118.18,20.4979,66.53,91.44,248.52,182.73,62.72,137.139,49.035,525.0,235.94,63.545,306.0,240.68,335.35,604.301,97.52,125.66,48.12,73.93,130.09,147.98,182.545,294.26,175.05,2085.995,298.05,91.84,512.7,120.59,137.275,65.33,209.15,50.91,64.56,418.27,62.795,160.95,304.37,172.35,58.295,54.665,57.2
9,78.875,163.94,1878.86,1440.78,221.68,1441.395,107.568,62.1723,228.64,138.6,147.395,200.15,299.64,224.98,126.12,34.79,145.71,115.95,315.73,347.5,183.085,343.17,69.5899,46.545,40.87,48.395,336.89,59.42,59.65,87.85,139.25,208.435,56.98,307.88,115.87,116.405,301.04,38.025,162.37,89.88,48.84,103.6999,91.61,210.35,130.43,141.69,118.41,212.08,88.89,63.0485,55.18,52.94,276.08,182.44,91.18,120.19,82.05,118.7,20.58,67.0881,92.06,249.5,182.42,66.5,138.055,49.08,531.62,236.74,62.365,307.73,242.6,333.11,605.49,96.16,119.4,47.65,75.62,129.84,146.74,181.86,296.15,175.15,2083.99,304.8,92.49,517.07,119.41,139.0,65.33,209.42,51.775,64.93,421.48,62.85,158.31,300.55,174.49,57.12,54.98,55.82
